"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1582",21.4639006231008,0.261414662471004,0.387525156325886,0.674574690710323,0.499946017335459,0.548478094047567
"838",581.894634602148,0.0616329176793414,0.0916897689188973,0.672189693638096,0.501462941374865,0.549790077168778
"734",4.13779395484691,-0.607878771613272,0.911369238912581,-0.66699505058847,0.504775294883539,0.553087899217541
"3060",49.2682695627603,-0.174790128318631,0.262096278465959,-0.666892827863379,0.504840592501038,0.553087899217541
"1603",10.204561796426,-0.372326792335813,0.558802191978257,-0.666294437782555,0.505222920147321,0.553304164378032
"2753",142.065784857046,0.104932224886363,0.158057477558929,0.663886495640426,0.50676296008243,0.554787697243553
"2196",2.62354282623016,0.784169660794438,1.18317919563347,0.662764916496519,0.507481126299963,0.555370713200252
"1069",31.28077740631,-0.226389561512154,0.341899776229324,-0.662151827090715,0.507873923664208,0.55559736000121
"555",731.633442950695,-0.0550859611593336,0.0833057455161212,-0.661250443388367,0.508451716542185,0.556026146160167
"1110",478.398004517939,-0.0630368878653559,0.0954386694705086,-0.660496297937544,0.508935393423404,0.556351734425585
"1270",35.3061325877069,-0.210633167444788,0.319901809749002,-0.658430684121648,0.510261423970522,0.557394005301132
"2719",630.338189341259,0.0567580892692953,0.0861842535990296,0.658566813531403,0.510173979469207,0.557394005301132
"776",1.05842970550149,1.21686331753704,1.85408133081794,0.65631604035418,0.51162079897653,0.558674974648824
"3067",16.3702039871665,0.294042240698212,0.448357999056409,0.655820218033442,0.511939806148335,0.558819372490266
"1622",205.707261099667,0.096041574170648,0.14721583268823,0.652386176248057,0.514152079826932,0.560825017441553
"2642",33.3772485249716,0.206912572889384,0.317154454402657,0.652403174595456,0.514141116943118,0.560825017441553
"1823",3.57346299549269,-0.615412888928481,0.945299840476052,-0.651024005905428,0.515030990603489,0.561578981007886
"620",20.0834469435225,0.276949595794492,0.42796816458453,0.647126629298125,0.517549992018581,0.564120064160144
"2765",3.58537306541283,-0.607466270490008,0.944895115848505,-0.642892803974873,0.520293659054919,0.566904088817304
"747",124.522277841035,0.111120134567929,0.173674067348477,0.639819958525913,0.522289655507339,0.56887173253657
"2533",13.7904238687942,-0.327491257324262,0.520273562884654,-0.629459731738989,0.529048123506874,0.576023284400498
"1464",2376.41924326117,0.0392448181673195,0.0630789284849787,0.622154166373721,0.533840500658863,0.581029748261665
"108",4770.86285397917,-0.0391185246905162,0.0634592445762213,-0.616435398053481,0.537607196744012,0.584916630057485
"1324",13.7738864248642,-0.299989398398884,0.488205595561154,-0.614473494622833,0.53890248284745,0.586112769421872
"2184",27.9060272605613,-0.213744477450686,0.349808904917841,-0.611032121954951,0.541178314985053,0.588374098268633
"1619",15.6330323040074,-0.273083392463667,0.447779526766076,-0.609861273551098,0.541953707926925,0.589003085404053
"223",82.611065918154,0.120719370100805,0.199778682479807,0.604265523239733,0.545667124178042,0.592823542316885
"2789",0.329195943535897,1.96017717184402,3.24551901703877,0.603964161526465,0.545867469506929,0.592825941475402
"2863",1034.37797108154,-0.0486132036892895,0.0815061379323454,-0.596436108034479,0.550883924681674,0.598056858725533
"2488",0.660225141771953,-1.29095473059826,2.17196836606144,-0.594370871496268,0.552264086346911,0.599337738973506
